line;display_name;contains;info;morning;afternoon;evening
cefuroxim 500mg (efodyl 500mg);cefuroxim 500mg;efodyl 500mg;"Thuốc uống Cefuroxime axetil được dùng để điều trị nhiễm khuẩn thể nhẹ đến vừa ở đường hô hấp dưới, viêm tai giữa và viêm xoang tái phát, viêm amiđan và viêm họng tái phát do vi khuẩn nhạy cảm gây ra. Tuy nhiên, cefuroxime không phải là thuốc lựa chọn hàng đầu để điều trị những nhiễm khuẩn này, mà amoxicilin mới là thuốc ưu tiên sử dụng hàng đầu và an toàn hơn. Cefuroxime axetil cũng được dùng để điều trị nhiễm khuẩn đường tiết niệu không biến chứng, nhiễm khuẩn da và mô mềm do các vi khuẩn nhạy cảm gây ra. Cefuroxime axetil uống cũng được dùng để điều trị bệnh Lyme thời kỳ đầu biểu hiện bằng triệu chứng ban đỏ loang do Borrelia burgdorferi.
Thuốc tiêm Cefuroxime natri được dùng để điều trị nhiễm khuẩn thể nặng đường hô hấp dưới (kể cả viêm phổi), nhiễm khuẩn da và mô mềm, nhiễm khuẩn xương và khớp, nhiễm khuẩn thể nặng niệu - sinh dục, nhiễm khuẩn huyết và viêm màng não do các vi khuẩn nhạy cảm gây ra. Cefuroxime natri cũng được tiêm để điều trị dự phòng nhiễm khuẩn khi phẫu thuật.
Lưu ý: Nên nuôi cấy vi khuẩn, làm kháng sinh đồ trước và trong quá trình điều trị. Cần phải tiến hành thử chức năng thận khi có chỉ định.";;;
methylprednisolon 16mg (menison 16mg);menison 16 mg;Methylprednisolon;"Methylprednisolon được chỉ định cho các bệnh cần hoạt tính glucocorticoid như:
- Rối loạn nội tiết: thiểu năng thượng thận nguyên phát và thứ phát, tăng sản thượng thận bẩm sinh.
- Rối loạn thấp khớp: viêm khớp dạng thấp, viêm cột sống dính khớp, viêm khớp mạn tính ở trẻ em.
- Bệnh collagen, viêm động mạch: lupus ban đỏ hệ thống, viêm da cơ toàn thân, thấp tim cấp, bệnh viêm động mạch tế bào khổng lồ/đau đa cơ do thấp khớp.
- Bệnh da liễu: bệnh pemphigus thể thông thường.
- Dị ứng: viêm mũi dị ứng theo mùa và quanh năm nặng, phản ứng quá mẫn thuốc, bệnh huyết thanh, viêm da dị ứng do tiếp xúc, hen phế quản.
- Bệnh nhãn khoa: viêm màng bồ đào trước (viêm mống mắt, viêm thể mi), viêm màng bồ đào sau, viêm thần kinh thị giác.
- Bệnh hô hấp: sarcoid phổi, bệnh lao cấp hay lan tỏa (với hóa trị liệu kháng lao thích hợp), tổn thương phổi do hít phải.
- Rối loạn huyết học: ban xuất huyết giảm tiểu cầu tự phát, thiếu máu tán huyết (tự miễn).
- Bệnh khối u: bệnh bạch cầu (cấp tính và bạch huyết), u lympho ác tính.
- Bệnh đường tiêu hóa: viêm loét đại tràng, bệnh Crohn.
- Khác: lao màng não (với hoá trị liệu lao thích hợp), ghép cơ quan.
";;;
bromhexin 8mg (bromhexin 8mg);bromhexin 8mg;bromhexin 8mg;"Bromhexin là chất có tác dụng long đờm. Do hoạt hóa tổng hợp sialomucin và phá vỡ các sợi acid mucopolysaccharid nên thuốc làm đờm lỏng hơn và ít quánh hơn. Giúp đờm từ phế quản thoát ra ngoài có hiệu quả. Khi uống, thường phải sau 2 - 3 ngày mới có tác dụng trên lâm sàng
Theo Dược thư Quốc gia 2015, thuốc được chỉ định trong các trường hợp: Rối loạn tiết dịch phế quản, nhất là trong viêm phế quản cấp tính, đợt cấp tính của viêm phế quản mạn tính. Bromhexin thường được dùng như một chất bổ trợ với kháng sinh, khi bị nhiễm khuẩn nặng đường hô hấp.
Theo khuyến cáo của nhà sản xuất, liều dùng của bromhexin là:
Trẻ từ 2-5 tuổi: 4mg/ lần x 2 lần/ ngày
Trẻ trên 5 tuổi – 12 tuổi: 4mg/ lần x 4 lần/ ngày
Trẻ trên 12 tuổi và người lớn: 8mg/ lần x 3 lần/ ngày. Liều dùng có thể lên đến 12mg/ lần x 4 lần/ ngày nhưng cần có ý kiến của bác sĩ.
";;;
paracetomal 500mg caffeine 65mg ;panadol extra 500;paracetomal 500, caffeine 65mg;"Loại thuốc giảm đau không gây nghiện này chứa paracetamol là một chất hạ sốt, giảm đau và caffeine – một chất tăng cường tác dụng giảm đau của paracetamol. Do đó, Panadol đỏ có thể đem lại hiệu quả trong điều trị các tình trạng liên quan đến đau nhẹ đến vừa và hạ sốt, bao gồm:
Đau đầu
Đau nửa đầu
Đau cơ
Đau bụng kinh
Đau họng
Đau cơ xương
Sốt và đau sau khi tiêm vắc xin
Đau sau khi nhổ răng khôn hoặc sau các thủ thuật nha khoa
Đau răng
Đau do viêm xương khớp
Một số tác dụng khác của thuốc không được liệt kê trên nhãn thuốc đã được phê duyệt nhưng bác sĩ có thể chỉ định bạn dùng. Bạn chỉ sử dụng thuốc này để điều trị một số bệnh lý chỉ khi có chỉ định của bác sĩ.
";;;
dorithricin 5mg rentschler germany;dorithricin ;dorithricin ;"Một viên ngậm Dorithricin chứa 3 thành phần chính gồm: Tyrothricin (0.5 mg), Benzalkonium chlorid (1.0 mg) và Benzocain (1.5 mg).
Tyrothricin và benzalkonium chloride là 2 kháng sinh có tác dụng tại chỗ, phổ tác dụng bao gồm cả vi khuẩn Gram dương và Gram âm (trong đó có 2 chủng streptococci và staphylococci là tác nhân gây bệnh thường gặp liên quan đến các bệnh nhiễm khuẩn miệng và hầu họng).
Benzocain là thuốc gây tê bề mặt, đem lại tác dụng giảm đau nhanh. làm dịu nhẹ các triệu chứng viêm họng, bao gồm đau họng, đau khi nuốt của người bệnh.
Các thành phần có hoạt tính của thuốc không bị hấp thu, hoặc chỉ được hấp thu một phần nhỏ vào cơ thể, do đó cho đến nay chưa ghi nhận được trường hợp nào xảy ra ngộ độc sau khi dùng thuốc";;;
gadoxime 200 cefpodoxim;Cefpodoxime 200;gadoxime;"Cefpodoxime được chỉ định để điều trị các nhiễm khuẩn sau đây :
- Nhiễm khuẩn hô hấp trên bao gồm viêm tai giữa cấp, viêm xoang, viêm amiđan và viêm họng.
- Viêm phổi cấp tính mắc phải trong cộng đồng.
- Nhiễm lậu cầu cấp chưa có biến chứng.
- Nhiễm khuẩn đường tiểu chưa có biến chứng.
- Nhiễm khuẩn da và cấu trúc da.  Tác dụng :
Cơ chế tác động:
Tác dụng kháng khuẩn của Cefpodoxime thông qua sự ức chế tổng hợp thành tế bào vi khuẩn nhờ sự acyl hóa các enzymes transpeptidase gắn kết màng ; điều này ngăn ngừa sự liên kết chéo của các chuỗi peptidoglycan cần thiết cho độ mạnh và độ bền của thành tế bào vi khuẩn.
Phổ kháng khuẩn:
Cefpodoxime proxetil có tác dụng chống lại các vi khuẩn Gram dương và Gram âm. Thuốc ổn định đối với beta-lactamases. Phổ kháng khuẩn bao gồm Staphylococcus aureus ngoại trừ Staphylococci đề kháng methicillin, Streptoccocus pyogenes, Streptococcus pneumoniae, Streptococcus agalactiae và Streptococcus spp. khác (Nhóm C, F, G). Các vi khuẩn Gram âm nhạy cảm với cefpodoxime bao gồm các chủng sinh beta-lactamase và không sinh beta-lactamase của H. influenzae, H. para- influenzae, Moraxella catarrhalis, Neisseria meningitidis, Neisseria gonorrhoea, E. coli, Klebsiella pneumoniae, Proteus vulgaris, Providencia rettgeri và Citrobacter diversus. Cefpodoxime cũng hiệu quả đối với Peptostreptococcus spp.
Thử nghiệm độ nhạy cảm:
Kết quả thử nghiệm bằng cách sử dụng một đĩa khuếch tán 10mcg được giải thích như sau:
Ðường kính ≥ 21(mm): Ðánh giá Nhạy cảm (S)
Ðường kính từ 18-20(mm): Ðánh giá Nhạy cảm trung bình (I)
Ðường kính ≤ 17(mm): Ðánh giá Ðề kháng (R).";;;
predstad 20mg prednisolon;Predstad 20mg;prednisolon;"Dùng liều thấp nhất có hiệu quả trong thời gian ngắn nhất có thể. Người lớn, người cao tuổi: khởi đầu 5-60 mg/ngày hoặc hơn, chia nhiều liều nhỏ; duy trì/điều chỉnh cho đến khi đạt đáp ứng mong muốn; giảm từ từ tới liều thấp nhất mà vẫn duy trì được đáp ứng mong muốn. Điều trị lâu dài: có thể cần tạm thời tăng liều khi bị stress hoặc trong đợt cấp. Nếu thiếu đáp ứng thích hợp: ngưng thuốc từ từ và chuyển sang liệu pháp thay thế. Chế độ liều ngắt quãng: liều duy nhất, cách nhật/cách khoảng xa hơn. Một số rối loạn đáp ứng được với corticosteroid (1)bệnh cấp tính/nặng: có thể khởi đầu liều cao rồi giảm đến liều duy trì thấp nhất có hiệu quả càng sớm càng tốt, (2)điều trị lâu dài: không giảm liều quá 5-7.5 mg/ngày. Dị ứng, rối loạn ở da: khởi đầu 5-15 mg/ngày. Bệnh chất tạo keo: khởi đầu 20-30 mg/ngày, nếu có các triệu chứng nghiêm trọng hơn: có thể liều cao hơn. Viêm khớp dạng thấp: khởi đầu 10-15 mg/ngày, duy trì liều hàng ngày thấp nhất tương ứng việc giảm các triệu chứng vừa phải. Rối loạn máu, u bạch huyết: khởi đầu 15-60 mg/ngày, giảm liều sau khi đạt đáp ứng hoặc huyết học thỏa đáng; liều cao hơn có thể giúp thuyên giảm bệnh bạch cầu cấp. Trẻ em: chỉ dùng khi được chỉ định đặc biệt, xác định liều theo đáp ứng; nếu có thể, liều cách nhật thích hợp hơn.";;;
Oribier 200mg N-acetylcystein;Oribier 200mg; N-acetylcystein;"N-Acetyl cystein có tác dụng cắt đứt các cầu nối S-S của dich nhày đờm ở đường hô hấp, cùng với phản xạ ho giúp đẩy chất đờm ra ngoài.

N-Acetyl cystein còn có tác dụng là thuốc giải độc khi quá liều paracetamol. Sau khi vào cơ thể N-Acetyl cystein chuyển hóa thành acetylcystein kích thích gan tổng hợp glutathion do đó duy trì hoặc khôi phục nồng độ glutathion của gan là chất cần thiết để làm bất hoạt chất chuyển hóa trung gian của paracetmol gây độc cho gan. Vì vậy có thể bảo vệ gan nếu được điều trị sớm.
";;;
partamol tab 500mg paracetamol;partamol tab 500mg;paracetamol;"	Giảm đau, hạ sốt. Các cơn đau do cảm cúm, nhức đầu, đau họng, đau nhức cơ xương, đau do hành kinh, đau răng, đau nửa đầu.
	Partamol 500 được dùng bằng đường uống.
	Người lớn và trẻ em trên 12 tuổi: 500 - 1000 mg mỗi 4 - 6 giờ khi cần thiết nhưng không được quá 4 g/ngày.
	Trẻ em từ 6 - 12 tuổi: 250 - 500 mg mỗi 4 - 6 giờ khi cần thiết, tối đa 4 lần/ngày.
	Không được tự ý dùng paracetamol để giảm đau quá 10 ngày đối với người lớn và 5 ngày đối với trẻ em.
	Không được tự ý dùng paracetamol để hạ sốt trong những trường hợp sốt quá cao (trên 39,5OC), sốt kéo dài hơn 3 ngày hoặc sốt tái phát.
	Hoặc theo hướng dẫn của bác sỹ.";;;
Levofloxacin Quinotab 500mg;Levofloxacin;Quinotab 500mg;"Levofloxacin thuộc nhóm thuốc kháng sinh quinolon có tác dụng diệt khuẩn do ức chế enzyme thiết yếu  tham gia vào quá trình sao chép, phiên mã và tu sửa ADN của vi khuẩn. Đây là một thuốc kháng sinh phổ rộng, có thể tiêu diệt được nhiều loài vi khuẩn.  Levofloxacin là một kháng sinh phổ rộng được chỉ định để điều trị các trường hợp nhiễm khuẩn do các vi khuẩn nhạy cảm với nó như:
Viêm phổi cộng đồng, viêm phổi bệnh viện
Nhiễm khuẩn đường tiết niệu có biến chứng bao gồm viêm bể thận
Viêm tuyến tiền liệt mạn tính do vi khuẩn
Nhiễm khuẩn da và mô mềm thể nhẹ và thể nặng
Phối hợp điều trị với các thuốc kháng lao
Phòng và điều trị bệnh than lây truyền qua đường hô hấp
Phòng và điều trị bệnh dịch hạch
Nhiễm khuẩn đường tiết niệu không phức tạp
Viêm phế quản cấp và viêm phế quản mạn tính đang trong giai đoạn tiến triển thành cấp tính
Nhiễm khuẩn ở mắt: viêm bờ mi, túi lệ, lẹo, viêm kết mạc, viêm sụn mi, viêm giác mạc, loét giác mạc…
Dự phòng nhiễm khuẩn trước và sau khi phẫu thuật mắt
Thuốc này sẽ không hiệu quả trong các trường hợp nhiễm virus (như cảm lạnh thông thường, cúm). Việc sử dụng khi không cần thiết hoặc lạm dụng kháng sinh có thể giảm hiệu quả của thuốc sau này.
Một số tác dụng khác của thuốc không được liệt kê trên nhãn thuốc đã được phê duyệt nhưng bác sĩ có thể chỉ định bạn dùng. Bạn chỉ sử dụng thuốc này để điều trị bệnh chỉ khi có chỉ định của bác sĩ. ";;;
